"LocationID" "Pt_PPB" "SampleID" "PleateID" "Compartment" "Concentration" "TimeID" "Replicate" "Dilution" "Initial_volume" "Platinum_ppb_correct" "Platinum_nM" "Platinum_pmol" "Platinum_pgram"
"79" "G08" 0.145990023 "12003" "Leiden_PtDetermination_Plate2" "Plasma" 5 480 2 100 100 14.5990023 74.8666784615385 7.48666784615385 1459.90023
"80" "G09" 0.100129797 "10005" "Leiden_PtDetermination_Plate2" "Plasma" 5 480 3 100 100 10.0129797 51.3486138461539 5.13486138461538 1001.29797
"81" "G10" 0.003755965 "4001" "Leiden_PtDetermination_Plate2" "Plasma" 0 672 1 100 100 0.3755965 1.9261358974359 0.19261358974359 37.55965
"82" "G11" 0.004981959 "4003" "Leiden_PtDetermination_Plate2" "Plasma" 0 672 2 100 88 0.4981959 2.55485076923077 0.224826867692308 43.8412392
"83" "G12" 0.004839743 "4005" "Leiden_PtDetermination_Plate2" "Plasma" 0 672 3 100 88 0.4839743 2.48191948717949 0.218408914871795 42.5897384
"84" "H01" 0.073797201 "13001" "Leiden_PtDetermination_Plate2" "Plasma" 5 672 1 100 100 7.3797201 37.8447184615385 3.78447184615385 737.97201
"85" "H02" 0.066210579 "13003" "Leiden_PtDetermination_Plate2" "Plasma" 5 672 2 100 100 6.6210579 33.9541430769231 3.39541430769231 662.10579
"86" "H03" 0.069803586 "13005" "Leiden_PtDetermination_Plate2" "Plasma" 5 672 3 100 100 6.9803586 35.7967107692308 3.57967107692308 698.03586
"87" "H04" 0.057426209 "17001" "Leiden_PtDetermination_Plate2" "Plasma" 5 672 4 100 100 5.7426209 29.4493379487179 2.94493379487179 574.26209
"88" "H05" 0.062818215 "17003" "Leiden_PtDetermination_Plate2" "Plasma" 5 672 5 100 100 6.2818215 32.2144692307692 3.22144692307692 628.18215
"89" "H06" 0.138984469 "17005" "Leiden_PtDetermination_Plate2" "Plasma" 5 366 1 100 94 13.8984469 71.2740866666667 6.69976414666667 1306.4540086
"90" "H07" 0.052837403 "18001" "Leiden_PtDetermination_Plate2" "Plasma" 5 672 6 100 100 5.2837403 27.0961041025641 2.70961041025641 528.37403
"91" "H08" 0.05822405 "18003" "Leiden_PtDetermination_Plate2" "Plasma" 5 672 7 100 100 5.822405 29.8584871794872 2.98584871794872 582.2405
"92" "H09" 0.080509437 "18005" "Leiden_PtDetermination_Plate2" "Plasma" 5 672 8 100 100 8.0509437 41.2868907692308 4.12868907692308 805.09437
"93" "H10" 6.090911039 "16005" "Leiden_PtDetermination_Plate2" "Plasma" 5 4 3 163 80 992.818499357 5091.37691977949 407.310153582359 79425.47994856
